Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket,tempmin,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,sunrise,sunset,moonphase,conditions,description,icon,city,StratoO3,year_month,year,month,day,dayofweek,season_Spring,season_Summer,season_Winter
2015-03-24,149.04,109.46399999999998,31.23,112.29,12.77,9.68,0.93,14.04,38.67,4.842,8.39,333.0,Very Poor,77.1,76.1,76.9,0.0,0,0.0,22.8,13.9,161.0,1009.5,1.3,3.1,283.4,2015-03-24T06:10:44,2015-03-24T18:20:01,0.13,Clear,Clear conditions throughout the day.,clear-day,chennai,188.5267347454981,2015-03,2015,3,24,1,True,False,False
2015-03-26,140.21,160.568,16.83,31.79,25.73,10.91,1.41,11.94,44.52,6.57,8.02,318.0,Very Poor,77.1,73.8,73.5,0.0,0,0.0,18.3,11.4,103.1,1012.5,30.4,3.4,273.7,2015-03-26T06:09:23,2015-03-26T18:20:09,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,228.866951945338,2015-03,2015,3,26,3,True,False,False
2015-03-27,266.29,194.136,39.96,50.12,20.48,11.51,1.27,25.45,27.64,0.162,8.35,408.0,Severe,77.1,73.4,71.3,0.0,0,0.0,17.7,13.9,89.7,1012.9,35.0,3.9,283.3,2015-03-27T06:08:43,2015-03-27T18:20:13,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,246.0027070249024,2015-03,2015,3,27,4,True,False,False
2015-03-28,88.65,80.942,22.83,38.75,20.64,10.97,2.21,11.76,27.68,0.7260000000000001,3.6599999999999993,448.0,Severe,77.1,75.3,74.0,0.0,0,0.0,20.4,13.9,111.9,1011.6,32.4,3.6,287.9,2015-03-28T06:08:03,2015-03-28T18:20:17,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,231.6536586426518,2015-03,2015,3,28,5,True,False,False
2015-03-31,51.69,56.806,37.45,46.48,16.09,11.41,1.23,6.53,27.62,1.33,6.94,312.0,Very Poor,80.7,76.6,73.5,0.0,0,0.0,21.5,13.9,125.8,1010.1,40.0,4.1,248.5,2015-03-31T06:06:04,2015-03-31T18:20:28,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,225.9182256661165,2015-03,2015,3,31,1,True,False,False
2015-04-01,103.75,89.38400000000001,42.23,36.98,14.4,10.04,1.33,4.65,27.54,5.444,7.37,289.0,Poor,80.7,77.2,75.9,0.0,0,0.0,23.0,13.9,134.3,1009.9,38.3,4.2,242.4,2015-04-01T06:05:24,2015-04-01T18:20:32,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,267.90328061640264,2015-04,2015,4,1,2,True,False,False
2015-04-02,106.27,68.456,33.67,38.34,14.8,11.53,1.08,6.22,27.65,3.14,4.72,206.0,Poor,80.7,76.9,73.5,0.0,0,0.0,21.9,13.9,173.9,1008.6,32.5,4.3,263.8,2015-04-02T06:04:44,2015-04-02T18:20:36,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,217.6569579840512,2015-04,2015,4,2,3,True,False,False
2015-04-03,42.82,45.122,23.17,35.32,16.86,10.17,1.21,6.23,27.6,1.748,3.118,248.0,Poor,80.7,77.8,73.5,0.0,0,0.0,22.1,13.9,176.8,1006.3,31.3,4.2,290.5,2015-04-03T06:04:05,2015-04-03T18:20:40,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,254.93280173133687,2015-04,2015,4,3,4,True,False,False
2015-04-05,85.86,37.53,17.2,26.79,17.04,12.33,1.14,3.96,27.58,0.096,4.48,302.0,Very Poor,82.5,78.4,74.6,0.0,0,0.0,23.9,15.0,164.9,1005.8,35.4,4.2,281.8,2015-04-05T06:02:47,2015-04-05T18:20:49,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,229.3407243642982,2015-04,2015,4,5,6,True,False,False
2015-04-06,83.19,37.53,9.46,16.84,15.85,12.35,3.42,5.63,23.22,0.14,5.12,193.0,Moderate,82.5,76.4,71.3,0.0,0,0.0,25.3,13.9,159.8,1006.7,35.0,4.3,276.4,2015-04-06T06:02:08,2015-04-06T18:20:53,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,235.14697094288576,2015-04,2015,4,6,0,True,False,False
2015-04-07,48.35,52.586,13.12,18.16,15.86,10.95,7.69,5.73,13.38,0.11,4.691999999999999,151.0,Moderate,82.5,77.8,75.2,0.0,0,0.0,24.2,13.9,153.4,1007.5,36.7,4.2,278.2,2015-04-07T06:01:30,2015-04-07T18:20:58,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,262.2369170068296,2015-04,2015,4,7,1,True,False,False
2015-04-08,73.66,39.10999999999999,8.54,17.07,17.64,10.83,1.1,3.76,24.4,1.564,4.276,137.0,Moderate,82.5,77.4,73.9,0.0,0,0.0,23.7,13.9,145.3,1009.3,38.3,4.2,261.4,2015-04-08T06:00:51,2015-04-08T18:21:02,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,202.5243660909184,2015-04,2015,4,8,2,True,False,False
2015-04-09,66.72,64.11999999999999,12.08,16.79,15.37,12.76,5.14,4.31,22.29,8.61,7.39,208.0,Poor,82.5,77.7,74.2,0.008,100,4.17,22.6,13.9,127.5,1009.7,40.9,4.4,247.0,2015-04-09T06:00:14,2015-04-09T18:21:07,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,chennai,260.22564201758047,2015-04,2015,4,9,3,True,False,False
2015-04-10,80.79,29.724,12.98,16.3,17.21,10.7,6.35,5.7,19.22,0.076,3.012,172.0,Moderate,80.7,76.3,72.7,0.0,0,0.0,21.7,15.0,150.0,1010.2,31.3,4.5,286.2,2015-04-10T05:59:36,2015-04-10T18:21:12,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,232.4429525873595,2015-04,2015,4,10,4,True,False,False
2015-04-11,75.59,38.284,8.57,16.81,18.36,11.54,1.57,5.16,27.01,0.24,1.5099999999999998,149.0,Moderate,78.9,75.8,71.9,0.0,0,0.0,23.0,13.9,155.3,1010.3,35.0,4.1,284.8,2015-04-11T05:58:59,2015-04-11T18:21:18,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,270.1754508482795,2015-04,2015,4,11,5,True,False,False
2015-04-12,75.82,60.852,7.44,17.27,15.86,11.58,1.13,3.58,27.57,1.926,4.506,157.0,Moderate,78.9,75.3,71.6,0.0,0,0.0,22.4,13.9,132.3,1011.9,43.3,4.1,268.3,2015-04-12T05:58:22,2015-04-12T18:21:23,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,230.85762826767305,2015-04,2015,4,12,6,True,False,False
2015-04-13,80.23,85.4,12.33,20.43,13.51,9.86,5.69,5.58,23.1,4.39,2.402,242.0,Poor,77.1,73.8,72.2,0.036,100,8.33,17.7,13.9,149.3,1012.0,55.4,3.5,145.2,2015-04-13T05:57:45,2015-04-13T18:21:29,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,chennai,231.3601652048181,2015-04,2015,4,13,0,True,False,False
2015-04-14,87.48,69.78,7.97,18.6,17.24,10.79,1.02,6.25,27.62,0.58,1.75,205.0,Poor,73.5,70.4,68.1,0.0,0,0.0,19.9,15.0,95.7,1010.2,53.3,4.2,286.0,2015-04-14T05:57:09,2015-04-14T18:21:34,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,221.17133875581288,2015-04,2015,4,14,1,True,False,False
2015-04-15,72.65,68.35799999999999,9.4,18.34,13.71,9.6,3.87,4.7,28.02,0.16,0.52,245.0,Poor,77.1,75.0,82.8,4.173,100,8.33,19.9,11.4,73.3,1010.8,64.6,3.5,176.6,2015-04-15T05:56:34,2015-04-15T18:21:40,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,chennai,248.8761819588541,2015-04,2015,4,15,2,True,False,False
2015-04-16,90.72,61.23,12.93,19.6,13.63,9.91,6.25,1.75,24.24,5.39,9.918,244.0,Poor,77.1,75.3,77.5,0.004,100,4.17,17.0,11.4,73.6,1011.5,42.6,3.5,233.7,2015-04-16T05:55:59,2015-04-16T18:21:47,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,chennai,232.27775446947675,2015-04,2015,4,16,3,True,False,False
2015-04-17,73.28,77.968,10.34,22.18,20.41,9.81,1.02,4.53,27.79,0.93,3.52,152.0,Moderate,78.9,76.3,76.5,0.0,0,0.0,17.7,13.9,63.1,1009.7,40.6,3.8,249.2,2015-04-17T05:55:24,2015-04-17T18:21:53,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,266.00212024965344,2015-04,2015,4,17,4,True,False,False
2015-04-18,73.33,70.692,10.84,22.69,19.72,10.07,0.98,3.82,27.81,0.6399999999999999,1.502,152.0,Moderate,77.1,73.6,71.1,0.0,0,0.0,16.1,13.9,85.3,1007.8,33.3,4.5,285.3,2015-04-18T05:54:50,2015-04-18T18:22:00,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,212.59470166150632,2015-04,2015,4,18,5,True,False,False
2015-04-19,71.17,35.122,18.3,29.45,18.05,10.46,0.92,4.36,27.86,0.492,5.42,148.0,Moderate,78.9,76.3,74.3,0.0,0,0.0,17.9,11.4,137.5,1008.0,30.0,4.6,281.7,2015-04-19T05:54:16,2015-04-19T18:22:07,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,234.22947374742324,2015-04,2015,4,19,6,True,False,False
2015-04-20,78.58,60.386,59.44,69.16,19.01,10.33,1.06,5.99,27.82,4.15,3.88,149.0,Moderate,80.7,76.6,72.5,0.0,0,0.0,16.3,13.9,110.5,1009.5,35.0,4.6,238.3,2015-04-20T05:53:43,2015-04-20T18:22:15,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,237.4749890451946,2015-04,2015,4,20,0,True,False,False
2015-04-21,74.55,84.526,24.69,37.66,18.13,9.97,1.13,5.08,27.79,6.413999999999999,4.902,158.0,Moderate,82.5,78.1,74.1,0.008,100,4.17,21.3,15.0,140.1,1009.5,47.1,4.2,229.6,2015-04-21T05:53:10,2015-04-21T18:22:22,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,chennai,238.8420184723321,2015-04,2015,4,21,1,True,False,False
2015-04-22,73.8,41.664,10.66,25.18,18.57,10.47,0.92,6.3,27.76,1.096,8.652,145.0,Moderate,82.3,77.5,72.5,0.0,0,0.0,23.5,13.9,178.4,1008.5,38.4,4.1,284.4,2015-04-22T05:52:38,2015-04-22T18:22:30,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,234.14721594740945,2015-04,2015,4,22,2,True,False,False
2015-04-23,69.28,24.910000000000004,27.38,41.89,18.28,13.36,2.44,4.14,27.59,4.3740000000000006,8.51,142.0,Moderate,84.3,78.8,73.3,0.0,0,0.0,25.1,17.2,178.9,1008.2,30.9,4.0,289.3,2015-04-23T05:52:07,2015-04-23T18:22:39,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,chennai,236.3889266481297,2015-04,2015,4,23,3,True,False,False
