Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,AQI_Bucket,tempmin,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,sunrise,sunset,moonphase,conditions,description,icon,city,StratoO3,year_month,year,month,day,dayofweek,season_Spring,season_Summer,season_Winter
2015-03-21,48.59,92.564,3.47,27.0,18.04,28.02,3.89,1.94,52.96,21.33,196.72,91.0,Satisfactory,69.2,50.2,38.9,0.0,0,0.0,22.1,12.8,101.3,1018.6,3.8,4.8,318.3,2015-03-21T06:23:30,2015-03-21T18:30:36,0.03,Clear,Clear conditions throughout the day.,clear-day,bengaluru,227.73857602055085,2015-03,2015,3,21,5,True,False,False
2015-03-22,47.38,92.564,2.84,22.39,15.33,23.19,11.29,2.05,71.85,14.97,138.2,120.0,Moderate,69.8,49.1,32.9,0.0,0,0.0,20.6,15.0,92.4,1017.8,10.5,5.1,315.5,2015-03-22T06:22:51,2015-03-22T18:30:40,0.06,Clear,Clear conditions throughout the day.,clear-day,bengaluru,228.5264358995292,2015-03,2015,3,22,6,True,False,False
2015-03-23,65.65,99.27,3.1,26.35,17.45,27.76,9.95,6.3,72.84,9.88,100.77,154.0,Moderate,73.4,57.5,42.2,0.0,0,0.0,16.6,7.5,112.6,1016.1,35.6,4.7,265.9,2015-03-23T06:22:11,2015-03-23T18:30:44,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,bengaluru,270.13268321135496,2015-03,2015,3,23,0,True,False,False
2015-03-24,60.47,95.752,5.39,29.87,20.88,35.1,1.46,6.07,64.12,5.9,61.48,119.0,Moderate,72.5,58.6,44.0,0.0,0,0.0,23.0,11.0,91.8,1015.1,30.1,4.8,290.0,2015-03-24T06:21:31,2015-03-24T18:30:47,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,bengaluru,188.52162985586824,2015-03,2015,3,24,1,True,False,False
2015-03-25,62.56,89.94,3.16,23.57,16.39,27.13,10.05,4.98,82.34,4.53,39.99,232.0,Poor,73.5,59.1,45.7,0.0,0,0.0,23.9,12.1,114.1,1015.5,35.4,4.6,278.0,2015-03-25T06:20:51,2015-03-25T18:30:51,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,bengaluru,244.70422397485908,2015-03,2015,3,25,2,True,False,False
2015-03-26,60.73,143.398,4.16,32.07,21.03,34.71,1.44,1.67,67.21,1.36,13.28,132.0,Moderate,71.6,59.4,48.4,0.0,0,0.0,23.7,15.0,109.2,1017.3,29.3,4.7,294.6,2015-03-26T06:20:11,2015-03-26T18:30:55,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,bengaluru,229.40068386088004,2015-03,2015,3,26,3,True,False,False
2015-03-27,42.1,112.06,4.01,25.55,17.37,30.96,2.85,2.46,51.93,0.14,3.71,123.0,Moderate,68.7,58.6,50.9,0.0,0,0.0,20.6,13.9,99.2,1017.7,24.0,4.6,306.4,2015-03-27T06:19:31,2015-03-27T18:30:58,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,bengaluru,246.22208174919524,2015-03,2015,3,27,4,True,False,False
2015-03-28,40.0,78.36800000000001,2.93,17.99,11.36,28.74,8.07,2.5,44.65,0.14,8.39,152.0,Moderate,68.6,56.6,48.0,0.0,0,0.0,20.1,13.2,114.5,1016.6,5.5,5.0,318.9,2015-03-28T06:18:51,2015-03-28T18:31:02,0.26,Clear,Clear conditions throughout the day.,clear-day,bengaluru,231.1640879521252,2015-03,2015,3,28,5,True,False,False
2015-03-29,32.16,54.468,2.38,12.9,8.3,21.5,8.53,2.08,56.31,0.15,8.53,143.0,Moderate,69.2,59.4,49.2,0.0,0,0.0,19.0,11.4,117.4,1015.3,18.2,4.7,313.0,2015-03-29T06:18:12,2015-03-29T18:31:06,0.29,Clear,Clear conditions throughout the day.,clear-day,bengaluru,229.72743561266088,2015-03,2015,3,29,6,True,False,False
2015-03-30,30.78,75.244,2.68,16.23,14.63,26.96,1.46,2.63,49.52,0.14,2.07,80.0,Satisfactory,71.0,59.5,47.6,0.0,0,0.0,20.6,8.6,130.2,1015.2,26.0,5.2,307.5,2015-03-30T06:17:32,2015-03-30T18:31:09,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,bengaluru,243.2324168587478,2015-03,2015,3,30,0,True,False,False
2015-03-31,38.99,132.558,2.6,10.97,12.7,27.52,1.79,2.79,47.67,0.14,2.39,90.0,Satisfactory,73.2,68.0,63.6,0.039,100,4.17,20.6,8.1,136.6,1015.5,56.6,4.2,242.2,2015-03-31T06:16:52,2015-03-31T18:31:13,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,bengaluru,226.08376888204177,2015-03,2015,3,31,1,True,False,False
2015-04-01,36.42,67.47,2.68,8.83,9.13,31.37,9.6,3.17,48.25,0.14,8.16,151.0,Moderate,71.3,68.1,61.5,0.052,100,33.33,19.0,12.6,127.9,1015.5,61.7,5.0,225.6,2015-04-01T06:16:13,2015-04-01T18:31:17,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,bengaluru,268.32048759230634,2015-04,2015,4,1,2,True,False,False
2015-04-02,38.15,96.252,4.24,10.29,9.99,43.09,4.06,7.65,53.26,0.14,5.29,123.0,Moderate,73.7,65.6,55.9,0.004,100,4.17,16.3,9.2,173.2,1014.5,46.4,4.8,261.6,2015-04-02T06:15:33,2015-04-02T18:31:21,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,bengaluru,217.56977852678267,2015-04,2015,4,2,3,True,False,False
2015-04-03,35.11,72.896,2.63,5.99,6.82,26.04,5.34,2.32,57.75,0.14,7.4,178.0,Moderate,74.0,68.9,60.7,0.0,0,0.0,18.6,11.0,258.5,1013.2,49.4,4.2,242.9,2015-04-03T06:14:54,2015-04-03T18:31:24,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,bengaluru,254.7312559383683,2015-04,2015,4,3,4,True,False,False
2015-04-04,36.68,97.466,3.63,12.89,10.88,40.71,1.47,3.29,76.36,0.13,1.61,101.0,Moderate,73.5,65.0,52.9,0.0,0,0.0,17.2,8.7,310.1,1011.5,57.6,4.7,268.6,2015-04-04T06:14:15,2015-04-04T18:31:28,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,bengaluru,230.5804946931244,2015-04,2015,4,4,5,True,False,False
2015-04-05,36.92,167.08800000000002,2.2,9.0,7.6,26.22,9.58,4.07,65.62,0.14,12.02,160.0,Moderate,78.9,66.7,50.0,0.0,0,0.0,15.7,8.6,170.9,1011.9,52.6,4.8,272.9,2015-04-05T06:13:37,2015-04-05T18:31:32,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,bengaluru,229.41373151723408,2015-04,2015,4,5,6,True,False,False
2015-04-06,31.78,130.98,2.48,8.14,8.06,22.34,0.55,7.22,54.31,0.18,0.28,71.0,Satisfactory,77.6,67.2,54.1,0.012,100,8.33,17.7,9.7,157.3,1012.3,46.8,4.3,247.4,2015-04-06T06:12:58,2015-04-06T18:31:37,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,bengaluru,235.0981277705331,2015-04,2015,4,6,0,True,False,False
2015-04-07,37.25,119.094,2.86,7.14,11.25,17.78,2.3,5.88,60.42,0.2,2.3,76.0,Satisfactory,75.3,65.7,50.3,0.0,0,0.0,14.1,8.1,181.3,1012.9,47.0,4.8,255.5,2015-04-07T06:12:20,2015-04-07T18:31:41,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,bengaluru,262.2369170068296,2015-04,2015,4,7,1,True,False,False
2015-04-08,29.8,62.518,2.59,9.04,7.52,24.2,6.84,1.84,49.55,0.12,20.68,153.0,Moderate,76.7,68.5,59.3,0.0,0,0.0,19.0,10.3,143.5,1014.4,47.1,4.5,258.6,2015-04-08T06:11:42,2015-04-08T18:31:46,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,bengaluru,202.6630999038712,2015-04,2015,4,8,2,True,False,False
2015-04-09,25.06,92.784,3.21,8.72,7.2,29.83,5.82,2.6,42.63,0.13,5.92,80.0,Satisfactory,72.5,64.9,54.7,0.0,0,0.0,20.6,11.4,138.4,1014.9,42.4,5.2,265.2,2015-04-09T06:11:04,2015-04-09T18:31:50,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,bengaluru,260.12375999769534,2015-04,2015,4,9,3,True,False,False
2015-04-10,24.4,148.202,6.87,7.46,8.7,23.17,5.19,2.03,44.47,8.64,8.48,129.0,Moderate,73.4,65.6,58.7,0.004,100,4.17,17.0,11.4,144.8,1015.8,49.8,4.5,261.3,2015-04-10T06:10:27,2015-04-10T18:31:55,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,bengaluru,231.69531842041005,2015-04,2015,4,10,4,True,False,False
2015-04-11,32.08,58.13599999999999,6.6,7.09,8.82,30.95,1.7,3.22,53.91,0.29,1.75,107.0,Moderate,70.1,65.7,58.6,1.252,100,8.33,15.7,8.1,230.2,1015.8,51.5,4.8,254.6,2015-04-11T06:09:50,2015-04-11T18:32:00,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,bengaluru,270.33924189938926,2015-04,2015,4,11,5,True,False,False
2015-04-12,19.72,48.51199999999999,1.81,4.97,5.51,34.85,2.65,5.16,44.53,0.17,2.65,122.0,Moderate,68.3,67.9,78.8,0.196,100,8.33,23.0,11.4,104.0,1017.7,70.6,4.0,231.3,2015-04-12T06:09:13,2015-04-12T18:32:05,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,bengaluru,230.43830698864065,2015-04,2015,4,12,6,True,False,False
2015-04-13,17.03,56.24799999999999,2.17,8.53,9.95,34.3,2.23,2.75,39.03,1.12,2.62,85.0,Satisfactory,66.3,65.9,80.7,0.43,100,4.17,15.7,12.0,138.9,1017.3,77.4,4.2,199.4,2015-04-13T06:08:37,2015-04-13T18:32:11,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,bengaluru,231.7205361072008,2015-04,2015,4,13,0,True,False,False
2015-04-14,19.73,71.22200000000001,2.26,6.1,6.13,27.48,1.4,4.66,57.7,0.18,1.71,62.0,Satisfactory,65.9,64.6,72.6,0.352,100,4.17,13.4,11.4,118.8,1015.4,56.0,4.1,230.7,2015-04-14T06:08:01,2015-04-14T18:32:16,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,bengaluru,237.80678987903863,2015-04,2015,4,14,1,True,False,False
2015-04-15,22.52,63.352,6.71,4.86,14.02,15.15,5.45,4.9,77.05,0.21,5.37,177.0,Moderate,67.8,66.6,75.9,0.43,100,4.17,26.4,12.6,94.2,1016.0,62.8,4.4,235.9,2015-04-15T06:07:26,2015-04-15T18:32:22,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,bengaluru,249.28322431615533,2015-04,2015,4,15,2,True,False,False
2015-04-16,21.36,65.65400000000001,2.86,7.98,12.69,16.61,0.97,29.11,96.88,0.16,0.54,152.0,Moderate,68.3,66.2,68.4,0.352,100,8.33,15.7,6.9,113.0,1016.6,64.2,4.8,252.0,2015-04-16T06:06:51,2015-04-16T18:32:28,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,bengaluru,232.6905692239268,2015-04,2015,4,16,3,True,False,False
2015-04-17,24.35,30.674,3.06,6.64,7.42,38.54,12.93,2.58,97.2,3.0620000000000003,12.95,210.0,Poor,66.9,69.7,75.1,0.432,100,8.33,14.3,21.9,265.4,1015.6,62.0,4.7,261.8,2015-04-17T06:06:16,2015-04-17T18:32:35,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,bengaluru,265.70071301784986,2015-04,2015,4,17,4,True,False,False
2015-04-18,18.33,63.55800000000001,2.4,5.98,6.47,21.02,3.84,3.99,101.63,0.498,4.51,170.0,Moderate,68.6,68.1,68.0,0.008,100,8.33,17.2,9.7,81.9,1013.8,46.9,4.9,258.4,2015-04-18T06:05:42,2015-04-18T18:32:41,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,bengaluru,211.8238592200861,2015-04,2015,4,18,5,True,False,False
2015-04-19,17.66,73.51599999999999,1.85,6.58,5.89,21.93,0.48,2.49,81.34,1.2120000000000002,0.48,135.0,Moderate,71.0,66.3,61.4,0.0,0,0.0,17.4,11.4,108.5,1013.7,31.2,4.9,282.9,2015-04-19T06:05:08,2015-04-19T18:32:48,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,bengaluru,232.87848160227395,2015-04,2015,4,19,6,True,False,False
2015-04-20,27.46,51.978,2.53,7.91,7.1,24.78,4.58,5.53,37.22,0.6519999999999999,5.17,118.0,Moderate,72.2,69.3,65.5,0.0,0,0.0,13.6,8.6,123.5,1015.3,41.3,4.9,284.1,2015-04-20T06:04:35,2015-04-20T18:32:56,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,bengaluru,237.99555400826245,2015-04,2015,4,20,0,True,False,False
2015-04-21,27.94,77.546,3.8,6.45,9.94,17.34,6.14,4.43,34.74,0.23,6.14,127.0,Moderate,71.7,71.3,69.8,0.016,100,8.33,16.3,9.2,140.2,1015.3,39.7,4.8,275.7,2015-04-21T06:04:03,2015-04-21T18:33:03,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,bengaluru,238.2690252824258,2015-04,2015,4,21,1,True,False,False
2015-04-22,23.81,56.30800000000001,4.01,6.21,13.57,5.42,5.68,26.42,32.79,0.22,2.224,47.0,Good,73.7,72.2,72.8,0.055,100,4.17,31.1,17.9,249.4,1014.8,66.3,4.4,289.4,2015-04-22T06:03:31,2015-04-22T18:33:11,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,bengaluru,234.21374718206613,2015-04,2015,4,22,2,True,False,False
